participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Tuesday,TodayPageUse-Thursday,TodayPageGoal-Thursday,FZFolderUse,SumTotalEventInteractions,LTGGoal,SumTotalLTGNoteInteractions,TodayPageGoal-Sunday,LTGFolderUse,TodayPageGoal-Friday,FZGoal,TodayPageGoal-Monday,TodayPageGoal-Saturday,TodayPageUse-Friday,TodayPageUse-Wednesday,SumTotalFZNoteInteractions,TodayPageUse-Monday,TodayPageGoal-Wednesday,TodayPageUse-Sunday,TodayPageUse-Saturday,TodayPageGoal-Tuesday
23,0.42857142857142855,0.42857142857142855,0.75,1,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0
34,0.42857142857142855,0.42857142857142855,0.75,2,0,0.0,0.14285714285714285,0.0,1,0.7142857142857143,0.0,0.14285714285714285,0.0,1,0.0,0.0,0,0,0.7142857142857143,0,0.0,0,0,0.0
95,3.2857142857142856,7.285714285714286,5.75,4,19,6.333333333333333,0.0,11.0,0,0.14285714285714285,5.333333333333333,0.0,2.3333333333333335,0,1.3333333333333333,7.333333333333333,8,5,0.14285714285714285,5,1.6666666666666667,18,24,1.3333333333333333
99,3.857142857142857,7.571428571428571,6.75,0,0,0.0,2.7142857142857144,11.285714285714286,19,2.4285714285714284,6.333333333333333,2.7142857142857144,10.666666666666666,19,0.0,9.333333333333334,34,0,2.4285714285714284,0,0.0,21,26,0.0
100,1.0,1.8571428571428572,1.75,0,22,7.0,0.0,3.2857142857142856,0,0.0,0.0,0.0,0.0,0,0.0,0.6666666666666666,0,0,0.0,0,0.0,0,3,0.0
101,1.0,2.0,1.75,5,5,1.6666666666666667,0.8571428571428571,2.2857142857142856,6,0.7142857142857143,1.6666666666666667,0.8571428571428571,0.0,6,0.6666666666666666,0.0,0,0,0.7142857142857143,2,0.0,5,0,1.3333333333333333
105,1.1428571428571428,2.142857142857143,2.0,0,9,2.6666666666666665,0.0,1.1428571428571428,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0
106,1.2857142857142858,3.142857142857143,2.25,18,0,0.0,0.0,2.4285714285714284,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,5.666666666666667
110,5.0,20.428571428571427,8.75,9,6,2.3333333333333335,1.2857142857142858,11.0,9,1.2857142857142858,4.333333333333333,1.2857142857142858,6.0,9,6.333333333333333,0.0,12,7,1.2857142857142858,14,3.3333333333333335,11,0,3.3333333333333335
115,1.5714285714285714,3.7142857142857144,2.75,13,0,0.0,0.0,13.857142857142858,0,2.142857142857143,0.0,0.0,5.333333333333333,0,11.333333333333334,1.3333333333333333,14,21,2.142857142857143,26,8.666666666666666,0,4,5.666666666666667
116,3.5714285714285716,6.857142857142857,6.25,0,17,7.333333333333333,0.14285714285714285,8.857142857142858,1,0.14285714285714285,0.0,0.14285714285714285,3.3333333333333335,1,0.6666666666666666,3.0,10,15,0.14285714285714285,3,6.333333333333333,0,10,0.0
119,6.714285714285714,13.571428571428571,11.75,24,18,4.666666666666667,2.7142857142857144,23.0,19,3.0,2.6666666666666665,2.7142857142857144,8.0,19,17.333333333333332,0.0,21,34,3.0,44,11.333333333333334,7,0,9.666666666666666
122,5.142857142857143,14.857142857142858,9.0,0,0,0.0,0.0,14.285714285714286,0,0.0,0.0,0.0,0.0,0,0.0,33.333333333333336,0,0,0.0,0,0.0,0,82,0.0
124,2.0,4.0,3.5,0,0,0.0,0.42857142857142855,6.714285714285714,3,0.42857142857142855,0.0,0.42857142857142855,2.6666666666666665,3,2.6666666666666665,4.0,10,21,0.42857142857142855,10,6.333333333333333,0,13,0.0
