participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Monday,TodayPageUse-Tuesday,TodayPageUse-Friday,SumTotalEventInteractions,TodayPageGoal-Monday,TodayPageGoal-Friday,LTGFolderUse,SumTotalLTGNoteInteractions,LTGGoal,FZFolderUse,SumTotalFZNoteInteractions,FZGoal,TodayPageUse-Wednesday,TodayPageUse-Thursday,TodayPageGoal-Sunday,TodayPageGoal-Tuesday,TodayPageGoal-Saturday,TodayPageUse-Sunday,TodayPageUse-Saturday,TodayPageGoal-Wednesday,TodayPageGoal-Thursday
48,2.2857142857142856,4.428571428571429,4.0,6,1,9,6.285714285714286,1.3333333333333333,2.6666666666666665,0.5714285714285714,1.0,6,0.5714285714285714,1.0,6,0,0,0.0,0.0,0.0,0,0,0.0,0.0
77,0.14285714285714285,0.14285714285714285,0.25,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
78,1.8571428571428572,4.285714285714286,3.25,0,0,0,1.2857142857142858,0.0,0.0,0.5714285714285714,0.2857142857142857,10,0.5714285714285714,0.2857142857142857,10,8,3,0.0,0.0,0.0,0,0,1.3333333333333333,0.6666666666666666
95,11.428571428571429,23.857142857142858,20.0,7,24,22,16.857142857142858,1.6666666666666667,5.333333333333333,0.42857142857142855,0.42857142857142855,21,0.42857142857142855,0.42857142857142855,21,14,12,1.3333333333333333,5.666666666666667,1.0,7,3,4.333333333333333,3.6666666666666665
97,1.0,1.7142857142857142,1.75,0,0,0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3,3,0.0,0.0,0.0,0,0,0.6666666666666666,0.6666666666666666
99,3.2857142857142856,6.0,5.75,0,0,3,20.0,0.0,1.0,0.42857142857142855,1.0,30,0.42857142857142855,1.0,30,30,0,0.0,0.0,0.0,0,0,11.333333333333334,0.0
100,2.4285714285714284,4.0,4.25,4,11,7,11.571428571428571,1.6666666666666667,1.6666666666666667,1.1428571428571428,1.5714285714285714,48,1.1428571428571428,1.5714285714285714,48,6,6,1.3333333333333333,3.3333333333333335,0.3333333333333333,6,2,1.3333333333333333,2.0
101,1.2857142857142858,2.5714285714285716,2.25,0,6,5,2.0,0.0,1.3333333333333333,0.5714285714285714,0.42857142857142855,13,0.5714285714285714,0.42857142857142855,13,0,0,1.3333333333333333,1.3333333333333333,0.0,5,0,0.0,0.0
103,5.571428571428571,10.857142857142858,9.75,0,0,1,12.285714285714286,0.0,0.3333333333333333,0.2857142857142857,0.5714285714285714,3,0.2857142857142857,0.5714285714285714,3,26,0,0.0,0.0,0.0,0,0,8.666666666666666,0.0
105,6.428571428571429,12.428571428571429,11.25,0,0,6,19.428571428571427,0.0,2.3333333333333335,1.5714285714285714,1.8571428571428572,75,1.5714285714285714,1.8571428571428572,75,27,6,0.0,0.0,0.0,0,0,9.333333333333334,2.3333333333333335
106,1.5714285714285714,3.2857142857142856,2.75,0,8,0,2.4285714285714284,0.0,0.0,1.1428571428571428,1.7142857142857142,18,1.1428571428571428,1.7142857142857142,18,2,0,1.0,1.6666666666666667,0.0,6,0,0.6666666666666666,0.0
109,3.142857142857143,6.0,5.5,0,0,0,6.285714285714286,0.0,0.0,0.2857142857142857,0.7142857142857143,15,0.2857142857142857,0.7142857142857143,15,11,0,0.6666666666666666,0.0,1.3333333333333333,2,3,4.0,0.0
110,3.0,6.428571428571429,5.25,6,3,13,11.857142857142858,2.3333333333333335,4.0,0.14285714285714285,0.0,6,0.14285714285714285,0.0,6,17,2,0.6666666666666666,1.3333333333333333,0.0,3,0,4.333333333333333,1.0
111,5.857142857142857,12.0,10.25,0,0,8,17.571428571428573,0.0,2.3333333333333335,0.14285714285714285,0.2857142857142857,8,0.14285714285714285,0.2857142857142857,8,16,2,0.0,0.0,0.6666666666666666,0,3,5.666666666666667,0.6666666666666666
114,1.8571428571428572,3.2857142857142856,3.25,4,11,5,12.142857142857142,1.3333333333333333,1.3333333333333333,1.1428571428571428,1.0,96,1.1428571428571428,1.0,96,5,5,1.3333333333333333,2.6666666666666665,1.3333333333333333,5,4,1.6666666666666667,2.0
115,1.5714285714285714,3.0,2.75,5,5,7,11.714285714285714,2.3333333333333335,2.6666666666666665,0.14285714285714285,0.5714285714285714,4,0.14285714285714285,0.5714285714285714,4,7,5,3.0,1.6666666666666667,1.3333333333333333,8,3,2.3333333333333335,1.6666666666666667
116,1.4285714285714286,2.7142857142857144,2.5,6,4,4,9.571428571428571,2.3333333333333335,1.0,0.0,0.0,0,0.0,0.0,0,0,4,0.0,1.6666666666666667,2.3333333333333335,0,6,0.0,2.0
119,2.142857142857143,8.0,3.75,0,6,0,10.857142857142858,0.0,0.0,0.0,0.0,0,0.0,0.0,0,4,8,1.0,2.0,2.3333333333333335,4,6,1.6666666666666667,2.3333333333333335
121,1.2857142857142858,2.0,2.25,0,0,0,3.0,0.0,0.0,0.14285714285714285,1.1428571428571428,7,0.14285714285714285,1.1428571428571428,7,11,0,0.0,0.0,0.0,0,0,4.0,0.0
122,4.857142857142857,9.714285714285714,8.5,0,0,0,14.857142857142858,0.0,0.0,1.4285714285714286,3.0,36,1.4285714285714286,3.0,36,22,0,1.3333333333333333,0.0,9.666666666666666,3,22,6.666666666666667,0.0
124,3.2857142857142856,6.428571428571429,5.75,11,5,9,17.571428571428573,3.3333333333333335,2.6666666666666665,0.0,0.0,0,0.0,0.0,0,0,12,4.666666666666667,2.3333333333333335,1.3333333333333333,13,5,0.0,4.333333333333333
125,3.7142857142857144,7.142857142857143,6.5,11,20,7,27.285714285714285,5.0,2.6666666666666665,1.4285714285714286,10.428571428571429,54,1.4285714285714286,10.428571428571429,54,0,17,0.0,6.333333333333333,1.6666666666666667,0,5,0.0,5.333333333333333
128,0.7142857142857143,1.4285714285714286,1.25,0,0,0,1.7142857142857142,0.0,0.0,0.14285714285714285,0.2857142857142857,21,0.14285714285714285,0.2857142857142857,21,8,0,0.0,0.0,0.0,0,0,2.0,0.0
129,2.142857142857143,3.7142857142857144,3.75,0,0,0,2.2857142857142856,0.0,0.0,0.7142857142857143,0.8571428571428571,16,0.7142857142857143,0.8571428571428571,16,8,0,0.0,0.0,0.0,0,0,2.0,0.0
130,2.2857142857142856,4.571428571428571,4.0,6,8,6,9.285714285714286,2.0,1.6666666666666667,0.8571428571428571,1.0,16,0.8571428571428571,1.0,16,15,0,1.6666666666666667,2.3333333333333335,0.6666666666666666,5,3,4.0,0.0
131,4.0,7.857142857142857,7.0,0,5,0,10.0,0.0,0.0,0.14285714285714285,0.2857142857142857,15,0.14285714285714285,0.2857142857142857,15,15,0,0.0,2.3333333333333335,0.0,0,0,4.333333333333333,0.0
132,22.857142857142858,51.285714285714285,40.0,22,10,8,35.0,10.333333333333334,4.0,0.5714285714285714,1.1428571428571428,13,0.5714285714285714,1.1428571428571428,13,17,3,4.666666666666667,3.3333333333333335,3.6666666666666665,11,7,6.333333333333333,1.6666666666666667
133,1.1428571428571428,2.142857142857143,2.0,0,8,0,1.2857142857142858,0.0,0.0,0.14285714285714285,0.2857142857142857,10,0.14285714285714285,0.2857142857142857,10,0,0,0.0,2.0,0.0,0,0,0.0,0.0
137,0.14285714285714285,0.2857142857142857,0.25,0,0,0,1.1428571428571428,0.0,0.0,0.42857142857142855,0.2857142857142857,14,0.42857142857142855,0.2857142857142857,14,9,0,0.0,0.0,0.0,0,0,2.3333333333333335,0.0
140,1.2857142857142858,6.857142857142857,2.25,0,0,0,1.5714285714285714,0.0,0.0,0.5714285714285714,0.14285714285714285,16,0.5714285714285714,0.14285714285714285,16,9,0,0.0,0.0,0.0,0,0,2.6666666666666665,0.0
147,0.14285714285714285,0.14285714285714285,0.25,0,0,2,0.14285714285714285,0.0,0.3333333333333333,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
155,0.5714285714285714,1.1428571428571428,1.0,23,0,0,3.7142857142857144,5.0,0.0,0.0,0.42857142857142855,0,0.0,0.42857142857142855,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
156,1.1428571428571428,2.142857142857143,2.0,0,0,0,5.142857142857143,0.0,0.0,0.0,0.42857142857142855,0,0.0,0.42857142857142855,0,5,23,0.0,0.0,0.0,0,0,1.3333333333333333,6.0
157,1.8571428571428572,3.857142857142857,3.25,0,0,0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,6,2,0.0,0.0,0.0,0,0,1.6666666666666667,0.3333333333333333
158,3.0,7.0,5.25,0,0,26,7.142857142857143,0.0,6.666666666666667,0.0,1.5714285714285714,0,0.0,1.5714285714285714,0,5,0,0.0,0.0,0.0,0,0,1.3333333333333333,0.0
159,1.0,2.0,1.75,0,0,0,1.8571428571428572,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0,0.0,1.0
