participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Friday,LTGFolderUse,LTGGoal,FZFolderUse,FZGoal,TodayPageUse-Wednesday,TodayPageUse-Thursday,TodayPageGoal-Sunday,TodayPageUse-Monday,TodayPageGoal-Tuesday,TodayPageGoal-Saturday,TodayPageUse-Tuesday,TodayPageUse-Sunday,TodayPageUse-Saturday,TodayPageGoal-Wednesday,TodayPageGoal-Friday,SumTotalFZNoteInteractions,SumTotalLTGNoteInteractions,TodayPageGoal-Monday,SumTotalEventInteractions,TodayPageGoal-Thursday
34,0.14285714285714285,0.14285714285714285,0.25,1,0.14285714285714285,2,0.14285714285714285,2,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,4.142857142857143,7.571428571428571,7.25,0,0.2857142857142857,6,0.2857142857142857,6,3,0,0.0,6,0.0,0.0,0,0,0,0.6666666666666666,0.0,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.7142857142857143,0.0
84,0.14285714285714285,0.2857142857142857,0.25,0,0.0,0,0.0,0,0,0,0.0,1,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,4.285714285714286,8.857142857142858,7.5,12,1.5714285714285714,23,1.5714285714285714,23,19,5,1.3333333333333333,9,5.333333333333333,0.3333333333333333,19,5,1,6.333333333333333,3.6666666666666665,1.4285714285714286,1.4285714285714286,2.6666666666666665,11.428571428571429,1.6666666666666667
99,8.142857142857142,17.714285714285715,14.25,4,0.42857142857142855,7,0.42857142857142855,7,18,7,0.6666666666666666,0,2.0,3.0,5,3,7,5.0,1.6666666666666667,0.5714285714285714,0.5714285714285714,0.0,35.42857142857143,2.0
100,3.142857142857143,6.142857142857143,5.5,3,0.2857142857142857,8,0.2857142857142857,8,3,5,0.0,6,7.666666666666667,0.0,22,0,0,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.2857142857142857,1.6666666666666667,11.428571428571429,1.3333333333333333
101,3.2857142857142856,6.428571428571429,5.75,2,0.0,0,0.0,0,8,0,0.0,1,1.3333333333333333,1.3333333333333333,3,0,4,3.0,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.3333333333333333,6.428571428571429,0.0
103,1.7142857142857142,4.0,3.0,0,0.0,0,0.0,0,15,0,0.0,0,0.0,0.0,0,0,0,6.333333333333333,0.0,0.0,0.0,0.0,4.714285714285714,0.0
105,2.2857142857142856,5.142857142857143,4.0,4,0.8571428571428571,14,0.8571428571428571,14,17,0,0.0,0,0.0,0.0,0,0,0,5.666666666666667,1.0,1.1428571428571428,1.1428571428571428,0.0,7.142857142857143,0.0
106,3.2857142857142856,6.0,5.75,0,0.0,0,0.0,0,14,4,2.0,3,0.6666666666666666,4.333333333333333,2,6,13,4.666666666666667,0.0,0.0,0.0,1.0,15.142857142857142,1.6666666666666667
109,4.285714285714286,8.142857142857142,7.5,0,0.7142857142857143,12,0.7142857142857143,12,15,0,0.0,4,1.3333333333333333,5.666666666666667,5,0,13,4.666666666666667,0.0,0.2857142857142857,0.2857142857142857,1.6666666666666667,15.571428571428571,0.0
110,2.5714285714285716,5.714285714285714,4.5,4,1.2857142857142858,14,1.2857142857142858,14,10,6,0.0,4,0.0,1.3333333333333333,0,0,2,3.6666666666666665,1.6666666666666667,1.4285714285714286,1.4285714285714286,1.6666666666666667,9.0,2.3333333333333335
111,1.4285714285714286,3.142857142857143,2.5,0,0.7142857142857143,12,0.7142857142857143,12,11,0,0.0,0,0.0,0.0,0,0,0,4.0,0.0,0.5714285714285714,0.5714285714285714,0.0,8.857142857142858,0.0
114,2.2857142857142856,4.285714285714286,4.0,3,0.14285714285714285,1,0.14285714285714285,1,5,2,1.0,3,0.6666666666666666,1.0,4,3,3,1.3333333333333333,0.6666666666666666,0.0,0.0,1.0,5.285714285714286,0.6666666666666666
115,5.285714285714286,11.714285714285714,9.25,10,1.0,10,1.0,10,4,6,10.0,16,6.0,1.0,13,25,2,1.6666666666666667,4.666666666666667,2.0,2.0,7.333333333333333,33.142857142857146,2.3333333333333335
116,3.7142857142857144,7.428571428571429,6.5,3,0.0,0,0.0,0,4,0,0.0,10,4.333333333333333,0.0,10,0,0,1.3333333333333333,1.0,0.0,0.0,4.666666666666667,9.857142857142858,0.0
119,7.142857142857143,19.571428571428573,12.5,6,1.4285714285714286,25,1.4285714285714286,25,2,33,0.6666666666666666,4,5.666666666666667,3.6666666666666665,14,3,10,0.6666666666666666,1.6666666666666667,2.7142857142857144,2.7142857142857144,1.0,29.428571428571427,13.666666666666666
122,3.857142857142857,8.285714285714286,6.75,0,0.2857142857142857,5,0.2857142857142857,5,7,0,2.3333333333333335,0,0.0,11.0,0,6,24,4.0,0.0,0.2857142857142857,0.2857142857142857,0.0,13.714285714285714,0.0
124,2.0,3.857142857142857,3.5,1,0.42857142857142855,10,0.42857142857142855,10,3,10,0.0,0,7.0,0.6666666666666666,16,0,2,1.0,0.3333333333333333,1.2857142857142858,1.2857142857142858,0.0,10.0,3.0
125,5.142857142857143,9.428571428571429,9.0,8,0.42857142857142855,4,0.42857142857142855,4,16,7,0.0,0,9.666666666666666,6.333333333333333,23,0,14,6.666666666666667,3.6666666666666665,1.1428571428571428,1.1428571428571428,0.0,37.0,3.0
