participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Friday,SumTotalEventInteractions,TodayPageGoal-Friday,LTGFolderUse,SumTotalLTGNoteInteractions,LTGGoal,FZFolderUse,SumTotalFZNoteInteractions,FZGoal,TodayPageGoal-Thursday,TodayPageUse-Thursday,TodayPageGoal-Sunday,TodayPageGoal-Monday,TodayPageGoal-Saturday,TodayPageUse-Wednesday,TodayPageUse-Monday,TodayPageGoal-Wednesday,TodayPageUse-Sunday,TodayPageUse-Tuesday,TodayPageUse-Saturday,TodayPageGoal-Tuesday
23,0.14285714285714285,0.2857142857142857,0.25,30,4.571428571428571,10.666666666666666,0.8571428571428571,0.5714285714285714,6,0.8571428571428571,0.5714285714285714,6,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
27,0.14285714285714285,0.42857142857142855,0.25,30,4.0,9.333333333333334,2.0,1.1428571428571428,14,2.0,1.1428571428571428,14,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
28,1.5714285714285714,3.857142857142857,2.75,52,7.0,16.333333333333332,1.2857142857142858,3.5714285714285716,9,1.2857142857142858,3.5714285714285716,9,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
29,7.142857142857143,14.0,12.5,50,21.857142857142858,15.0,1.8571428571428572,1.5714285714285714,13,1.8571428571428572,1.5714285714285714,13,14.666666666666666,32,0.0,0.0,21.333333333333332,0,0,0.0,0,0,72,0.0
33,1.7142857142857142,3.142857142857143,3.0,23,2.7142857142857144,6.333333333333333,1.1428571428571428,0.8571428571428571,8,1.1428571428571428,0.8571428571428571,8,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
48,2.857142857142857,5.857142857142857,5.0,0,8.571428571428571,0.0,1.1428571428571428,1.0,8,1.1428571428571428,1.0,8,0.6666666666666666,2,6.333333333333333,9.0,0.0,15,29,4.0,20,0,0,0.0
73,1.4285714285714286,3.0,2.5,41,5.857142857142857,13.666666666666666,2.0,0.8571428571428571,14,2.0,0.8571428571428571,14,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
75,0.14285714285714285,0.14285714285714285,0.25,0,0.42857142857142855,0.0,0.7142857142857143,0.42857142857142855,5,0.7142857142857143,0.42857142857142855,5,0.0,0,0.0,0.0,0.0,3,0,1.0,0,0,0,0.0
76,4.428571428571429,10.285714285714286,7.75,0,5.285714285714286,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,12.333333333333334,0.0,0.0,0,0,0.0,39,0,0,0.0
80,0.42857142857142855,1.0,0.75,32,3.857142857142857,9.0,0.7142857142857143,0.7142857142857143,5,0.7142857142857143,0.7142857142857143,5,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
83,0.2857142857142857,0.5714285714285714,0.5,18,2.7142857142857144,6.333333333333333,1.8571428571428572,1.4285714285714286,13,1.8571428571428572,1.4285714285714286,13,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
78,0.0,0.2857142857142857,0.0,0,1.1428571428571428,0.0,0.0,0.14285714285714285,0,0.0,0.14285714285714285,0,1.0,2,0.0,0.0,0.0,0,0,0.0,0,4,0,1.6666666666666667
82,0.0,0.0,0.0,0,0.14285714285714285,0.0,0.0,0.0,0,0.0,0.0,0,0.3333333333333333,1,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
