participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Monday,LTGFolderUse,SumTotalLTGNoteInteractions,LTGGoal,FZFolderUse,SumTotalFZNoteInteractions,FZGoal,TodayPageUse-Wednesday,TodayPageUse-Thursday,TodayPageUse-Friday,TodayPageGoal-Sunday,TodayPageGoal-Tuesday,TodayPageGoal-Saturday,TodayPageUse-Tuesday,TodayPageUse-Sunday,TodayPageUse-Saturday,TodayPageGoal-Wednesday,TodayPageGoal-Friday,TodayPageGoal-Monday,SumTotalEventInteractions,TodayPageGoal-Thursday
29,0.14285714285714285,0.14285714285714285,0.25,1,0.2857142857142857,0.2857142857142857,2,0.2857142857142857,0.2857142857142857,2,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
48,0.2857142857142857,0.2857142857142857,0.5,0,6.571428571428571,10.285714285714286,381,6.571428571428571,10.285714285714286,381,0,2,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333
71,0.14285714285714285,0.14285714285714285,0.25,4,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.6666666666666666,0.2857142857142857,0.0
73,1.0,1.8571428571428572,1.75,0,1.7142857142857142,2.0,44,1.7142857142857142,2.0,44,0,4,6,0.0,0.0,0.0,0,0,0,0.0,0.3333333333333333,0.0,1.7142857142857142,1.3333333333333333
95,6.142857142857143,11.714285714285714,10.75,6,1.1428571428571428,1.8571428571428572,21,1.1428571428571428,1.8571428571428572,21,4,9,4,0.6666666666666666,6.0,1.0,25,3,4,1.3333333333333333,1.3333333333333333,1.0,12.571428571428571,2.3333333333333335
97,2.7142857142857144,6.142857142857143,4.75,1,1.7142857142857142,3.2857142857142856,22,1.7142857142857142,3.2857142857142856,22,2,0,7,0.0,5.666666666666667,1.0,22,0,3,0.6666666666666666,2.3333333333333335,0.3333333333333333,5.714285714285714,0.0
99,6.857142857142857,13.428571428571429,12.0,0,2.7142857142857144,3.5714285714285716,49,2.7142857142857144,3.5714285714285716,49,3,0,5,0.0,6.333333333333333,1.3333333333333333,18,0,5,0.6666666666666666,1.6666666666666667,0.0,11.0,0.0
100,4.428571428571429,11.428571428571429,7.75,8,1.5714285714285714,2.142857142857143,26,1.5714285714285714,2.142857142857143,26,4,2,10,0.6666666666666666,6.0,2.0,23,2,5,1.6666666666666667,3.6666666666666665,3.0,15.0,1.0
101,1.0,2.0,1.75,2,0.8571428571428571,0.7142857142857143,17,0.8571428571428571,0.7142857142857143,17,0,0,0,0.0,2.0,0.0,8,0,0,0.0,0.0,0.6666666666666666,2.142857142857143,0.0
103,8.142857142857142,17.142857142857142,14.25,4,1.4285714285714286,2.142857142857143,13,1.4285714285714286,2.142857142857143,13,30,0,4,0.6666666666666666,1.6666666666666667,0.0,3,2,0,12.0,1.6666666666666667,1.6666666666666667,28.714285714285715,0.0
105,6.428571428571429,13.857142857142858,11.25,10,1.2857142857142858,2.142857142857143,18,1.2857142857142858,2.142857142857143,18,12,7,0,1.3333333333333333,6.0,0.0,15,4,0,4.666666666666667,0.0,3.0,26.428571428571427,2.3333333333333335
106,2.142857142857143,5.0,3.75,0,1.0,2.0,16,1.0,2.0,16,0,0,5,0.0,2.6666666666666665,2.3333333333333335,14,0,9,0.0,1.3333333333333333,0.0,6.428571428571429,0.0
109,15.571428571428571,49.42857142857143,27.25,3,3.142857142857143,13.571428571428571,80,3.142857142857143,13.571428571428571,80,27,7,0,1.0,0.6666666666666666,0.0,2,3,0,7.0,0.0,0.6666666666666666,13.428571428571429,2.6666666666666665
110,5.285714285714286,11.857142857142858,9.25,15,0.7142857142857143,1.2857142857142858,7,0.7142857142857143,1.2857142857142858,7,7,6,3,7.666666666666667,2.3333333333333335,0.6666666666666666,6,26,3,1.6666666666666667,0.6666666666666666,4.333333333333333,12.142857142857142,2.0
111,2.142857142857143,3.857142857142857,3.75,0,1.1428571428571428,1.5714285714285714,14,1.1428571428571428,1.5714285714285714,14,16,0,0,0.0,0.0,0.0,0,0,0,4.333333333333333,0.0,0.0,2.857142857142857,0.0
114,1.8571428571428572,3.857142857142857,3.25,5,2.142857142857143,2.7142857142857144,27,2.142857142857143,2.7142857142857144,27,4,3,7,1.3333333333333333,2.3333333333333335,0.3333333333333333,11,4,1,1.0,2.0,2.0,11.142857142857142,0.6666666666666666
115,5.0,9.857142857142858,8.75,17,1.8571428571428572,4.0,25,1.8571428571428572,4.0,25,13,2,4,2.3333333333333335,5.0,1.3333333333333333,16,6,3,4.0,1.3333333333333333,7.333333333333333,18.714285714285715,0.6666666666666666
116,2.0,4.428571428571429,3.5,2,1.7142857142857142,3.4285714285714284,29,1.7142857142857142,3.4285714285714284,29,5,7,3,0.0,4.0,0.3333333333333333,14,0,1,1.6666666666666667,1.3333333333333333,0.6666666666666666,7.857142857142857,2.6666666666666665
119,7.428571428571429,17.142857142857142,13.0,0,1.2857142857142858,2.0,28,1.2857142857142858,2.0,28,1,7,3,0.0,6.666666666666667,1.3333333333333333,17,0,4,0.6666666666666666,1.3333333333333333,0.0,14.714285714285714,2.3333333333333335
121,5.142857142857143,10.142857142857142,9.0,0,1.4285714285714286,2.857142857142857,22,1.4285714285714286,2.857142857142857,22,21,0,0,0.0,0.0,0.0,0,0,0,6.666666666666667,0.0,0.0,15.285714285714286,0.0
122,1.0,2.142857142857143,1.75,0,1.1428571428571428,2.0,15,1.1428571428571428,2.0,15,13,0,0,0.0,0.0,0.0,0,0,0,5.0,0.0,0.0,4.142857142857143,0.0
124,3.4285714285714284,6.571428571428571,6.0,2,1.8571428571428572,3.2857142857142856,26,1.8571428571428572,3.2857142857142856,26,8,4,2,2.3333333333333335,8.0,1.3333333333333333,23,10,4,2.6666666666666665,0.3333333333333333,0.3333333333333333,15.857142857142858,1.6666666666666667
125,3.142857142857143,6.285714285714286,5.5,11,1.5714285714285714,2.7142857142857144,15,1.5714285714285714,2.7142857142857144,15,0,0,0,0.0,5.666666666666667,2.3333333333333335,14,0,7,0.0,0.0,3.3333333333333335,12.285714285714286,0.0
128,3.0,7.285714285714286,5.25,10,1.4285714285714286,2.857142857142857,15,1.4285714285714286,2.857142857142857,15,9,0,0,0.0,1.0,0.0,3,0,0,2.3333333333333335,0.0,3.6666666666666665,4.285714285714286,0.0
129,1.0,2.0,1.75,2,1.0,1.2857142857142858,15,1.0,1.2857142857142858,15,6,0,0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.6666666666666666,1.5714285714285714,0.0
130,4.857142857142857,11.571428571428571,8.5,10,0.8571428571428571,2.4285714285714284,12,0.8571428571428571,2.4285714285714284,12,13,9,0,0.0,0.6666666666666666,1.6666666666666667,3,0,5,3.3333333333333335,0.0,3.0,8.571428571428571,2.6666666666666665
131,2.0,6.571428571428571,3.5,2,0.7142857142857143,1.1428571428571428,7,0.7142857142857143,1.1428571428571428,7,12,0,0,0.0,0.0,0.0,0,0,0,4.333333333333333,0.0,0.3333333333333333,6.285714285714286,0.0
132,11.428571428571429,26.857142857142858,20.0,7,1.4285714285714286,2.4285714285714284,23,1.4285714285714286,2.4285714285714284,23,8,5,4,1.6666666666666667,2.0,4.666666666666667,6,4,11,3.6666666666666665,1.6666666666666667,2.3333333333333335,12.857142857142858,2.0
133,1.0,2.142857142857143,1.75,3,2.0,4.285714285714286,30,2.0,4.285714285714286,30,7,7,1,0.0,2.3333333333333335,1.3333333333333333,10,0,3,2.0,0.3333333333333333,0.6666666666666666,8.857142857142858,3.6666666666666665
137,1.4285714285714286,2.5714285714285716,2.5,0,0.7142857142857143,0.8571428571428571,5,0.7142857142857143,0.8571428571428571,5,13,8,1,0.0,0.0,0.0,0,0,0,5.333333333333333,0.6666666666666666,0.0,5.714285714285714,2.6666666666666665
140,3.4285714285714284,7.285714285714286,6.0,0,1.2857142857142858,1.8571428571428572,15,1.2857142857142858,1.8571428571428572,15,18,0,0,0.0,0.0,0.0,0,0,0,5.333333333333333,0.0,0.0,4.857142857142857,0.0
145,0.14285714285714285,0.2857142857142857,0.25,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,1.6666666666666667,0.0,6,0,0,0.0,0.0,0.0,0.7142857142857143,0.0
1,0.0,0.0,0.0,0,0.42857142857142855,0.42857142857142855,12,0.42857142857142855,0.42857142857142855,12,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0,1.2857142857142858,1.0,48,1.2857142857142858,1.0,48,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
