participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Monday,TodayPageUse-Tuesday,SumTotalEventInteractions,TodayPageGoal-Monday,TodayPageGoal-Tuesday,LTGFolderUse,SumTotalLTGNoteInteractions,LTGGoal,FZFolderUse,SumTotalFZNoteInteractions,FZGoal,TodayPageUse-Saturday,TodayPageUse-Wednesday,TodayPageGoal-Friday,TodayPageGoal-Wednesday,TodayPageGoal-Thursday,TodayPageGoal-Sunday,TodayPageUse-Friday,TodayPageUse-Sunday,TodayPageGoal-Saturday,TodayPageUse-Thursday
48,0.5714285714285714,1.0,1.0,1,15,2.5714285714285716,0.3333333333333333,5.666666666666667,0.14285714285714285,0.42857142857142855,1,0.14285714285714285,0.42857142857142855,1,0,0,0,0.0,0,0.0,0,0,0,0
95,0.2857142857142857,0.5714285714285714,0.5,5,4,3.7142857142857144,1.6666666666666667,1.6666666666666667,1.2857142857142858,0.5714285714285714,9,1.2857142857142858,0.5714285714285714,9,0,1,0,0.3333333333333333,0,5.0,0,16,0,0
99,0.8571428571428571,2.0,1.5,0,17,3.2857142857142856,0.0,6.0,0.2857142857142857,0.14285714285714285,2,0.2857142857142857,0.14285714285714285,2,0,0,0,0.0,0,1.6666666666666667,0,6,0,0
100,1.4285714285714286,2.7142857142857144,2.5,3,34,8.428571428571429,1.3333333333333333,11.666666666666666,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,6.666666666666667,0,14,0,0
101,0.5714285714285714,1.1428571428571428,1.0,4,0,1.2857142857142858,1.6666666666666667,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,1.3333333333333333,0,4,0,0
106,1.2857142857142858,2.2857142857142856,2.25,15,9,3.142857142857143,5.0,2.3333333333333335,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0
109,1.1428571428571428,2.2857142857142856,2.0,0,5,1.8571428571428572,0.0,1.6666666666666667,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,2.6666666666666665,0,8,0,0
110,2.142857142857143,5.0,3.75,14,5,6.571428571428571,5.666666666666667,2.0,1.4285714285714286,1.5714285714285714,10,1.4285714285714286,1.5714285714285714,10,0,6,0,2.3333333333333335,0,5.333333333333333,0,15,0,0
114,1.0,1.4285714285714286,1.75,12,14,4.285714285714286,4.333333333333333,3.6666666666666665,1.2857142857142858,0.2857142857142857,9,1.2857142857142858,0.2857142857142857,9,0,0,0,0.0,0,2.0,0,6,0,0
115,0.7142857142857143,1.2857142857142858,1.25,18,2,3.7142857142857144,6.666666666666667,0.3333333333333333,1.8571428571428572,2.4285714285714284,13,1.8571428571428572,2.4285714285714284,13,0,0,0,0.0,0,1.6666666666666667,0,5,0,0
116,0.7142857142857143,1.4285714285714286,1.25,8,2,3.4285714285714284,3.3333333333333335,0.6666666666666666,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,4.0,0,9,0,0
119,1.5714285714285714,3.0,2.75,0,46,6.428571428571429,0.0,15.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0
122,1.0,2.142857142857143,1.75,0,23,4.0,0.0,9.333333333333334,0.14285714285714285,0.14285714285714285,1,0.14285714285714285,0.14285714285714285,1,0,0,0,0.0,0,0.0,0,0,0,0
124,1.4285714285714286,2.857142857142857,2.5,5,8,3.0,2.0,3.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,2.0,0,7,0,0
125,1.1428571428571428,2.0,2.0,26,28,8.428571428571429,10.333333333333334,9.333333333333334,0.14285714285714285,0.0,1,0.14285714285714285,0.0,1,0,0,0,0.0,0,0.0,0,0,0,0
128,1.0,3.5714285714285716,1.75,6,5,4.857142857142857,2.6666666666666665,1.6666666666666667,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,7.0,0,16,0,0
129,0.2857142857142857,0.5714285714285714,0.5,0,13,2.5714285714285716,0.0,4.0,0.42857142857142855,0.2857142857142857,3,0.42857142857142855,0.2857142857142857,3,0,0,0,0.0,0,2.0,0,7,0,0
132,21.285714285714285,51.42857142857143,37.25,313,9,68.0,155.33333333333334,3.3333333333333335,1.4285714285714286,0.5714285714285714,10,1.4285714285714286,0.5714285714285714,10,0,0,0,0.0,0,0.0,0,0,0,0
130,0.0,0.0,0.0,6,0,1.5714285714285714,2.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,1.6666666666666667,0,5,0,0
131,0.0,0.0,0.0,0,0,0.42857142857142855,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,1.0,0,3,0,0
34,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0
133,0.0,0.0,0.0,0,2,0.5714285714285714,0.0,1.3333333333333333,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0
