participantId,CalenderUse,SumTotalCalendarInteractions,CalendaringGoal,TodayPageUse-Tuesday,SumTotalEventInteractions,TodayPageGoal-Tuesday,TodayPageUse-Wednesday,TodayPageUse-Thursday,TodayPageUse-Friday,TodayPageGoal-Sunday,LTGFolderUse,TodayPageUse-Monday,FZGoal,TodayPageGoal-Saturday,LTGGoal,TodayPageUse-Sunday,TodayPageUse-Saturday,TodayPageGoal-Wednesday,TodayPageGoal-Friday,SumTotalFZNoteInteractions,SumTotalLTGNoteInteractions,TodayPageGoal-Monday,FZFolderUse,TodayPageGoal-Thursday
73,0.42857142857142855,0.8571428571428571,0.75,5,1.0,1.3333333333333333,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,5.285714285714286,18.571428571428573,9.25,16,9.0,4.666666666666667,3,3,11,0.6666666666666666,0.0,6,0,1.6666666666666667,0,3,6,1.0,3.0,0.0,0.0,1.0,0.0,0.6666666666666666
99,6.571428571428571,25.857142857142858,11.5,18,11.0,6.0,2,0,7,0.0,0.0,0,0,0.0,0,0,0,0.6666666666666666,3.6666666666666665,0.0,0.0,0.0,0.0,0.0
100,5.285714285714286,10.571428571428571,9.25,20,13.714285714285714,6.666666666666667,11,3,6,1.3333333333333333,0.14285714285714285,3,5,1.0,5,3,2,4.0,2.3333333333333335,0.14285714285714285,0.14285714285714285,1.3333333333333333,0.14285714285714285,0.6666666666666666
101,4.285714285714286,14.0,7.5,6,6.857142857142857,2.3333333333333335,0,5,0,0.0,0.0,3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,2.6666666666666665
103,3.5714285714285716,7.142857142857143,6.25,1,13.571428571428571,0.3333333333333333,16,10,5,2.0,0.0,4,0,0.0,0,6,0,6.333333333333333,2.0,0.0,0.0,1.6666666666666667,0.0,4.0
105,2.142857142857143,4.285714285714286,3.75,2,5.714285714285714,1.0,9,0,0,0.0,0.0,0,0,1.3333333333333333,0,0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0
106,4.857142857142857,10.857142857142858,8.5,10,8.428571428571429,3.3333333333333335,9,2,12,1.0,0.0,7,0,0.6666666666666666,0,2,3,2.0,3.6666666666666665,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666
109,8.285714285714286,16.428571428571427,14.5,0,6.714285714285714,0.0,10,5,3,0.0,0.0,0,0,2.0,0,0,7,3.3333333333333335,1.0,0.0,0.0,0.0,0.0,2.0
110,3.142857142857143,6.714285714285714,5.5,2,10.285714285714286,0.3333333333333333,9,9,5,2.3333333333333335,0.0,3,0,2.6666666666666665,0,6,10,2.6666666666666665,2.3333333333333335,0.0,0.0,1.0,0.0,3.3333333333333335
111,2.7142857142857144,12.142857142857142,4.75,0,2.7142857142857144,0.0,0,0,0,2.3333333333333335,0.0,0,0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
