interactionId,participantId,elementId,timestamp_local,timestamp_utcoffset,interaction,token,type,source
15569,103,69,"2021-11-03 16:35:10",-0700,tap,,,
15570,103,3,"2021-11-03 16:35:11",-0700,present,,,
15603,103,9,"2021-11-03 16:35:56",-0700,tap,,,
15604,103,4,"2021-11-03 16:35:56",-0700,present,,,
15607,103,19,"2021-11-03 16:36:02",-0700,tap,,,
15612,103,18,"2021-11-03 16:36:05",-0700,tap,,,
15614,103,12,"2021-11-03 16:36:06",-0700,tap,,,
15615,103,7,"2021-11-03 16:36:06",-0700,present,,,
15622,103,30,"2021-11-03 16:36:09",-0700,tap,,,
15629,103,201,"2021-11-03 16:36:18",-0700,tap,,,
15673,103,11,"2021-11-03 16:36:52",-0700,tap,,,
15674,103,6,"2021-11-03 16:36:52",-0700,present,,,
15701,103,7,"2021-11-03 16:37:12",-0700,present,,,
15702,103,12,"2021-11-03 16:37:12",-0700,tap,,,
15720,103,30,"2021-11-03 16:38:30",-0700,tap,,,
15729,103,12,"2021-11-03 16:38:51",-0700,tap,,,
15730,103,7,"2021-11-03 16:38:51",-0700,present,,,
15734,103,30,"2021-11-03 16:39:07",-0700,tap,,,
15735,103,12,"2021-11-03 16:39:10",-0700,tap,,,
15736,103,7,"2021-11-03 16:39:10",-0700,present,,,
15737,103,30,"2021-11-03 16:39:23",-0700,tap,,,
15738,103,8,"2021-11-03 16:39:25",-0700,tap,,,
15739,103,3,"2021-11-03 16:39:25",-0700,present,,,
15740,103,7,"2021-11-03 16:39:58",-0700,present,,,
15741,103,12,"2021-11-03 16:39:58",-0700,tap,,,
19095,103,69,"2021-11-07 13:55:26",-0800,tap,,,
19096,103,3,"2021-11-07 13:55:28",-0800,present,,,
19097,103,13,"2021-11-07 14:01:44",-0800,tap,,,
19098,103,43,"2021-11-07 14:02:02",-0800,tap,,,
19099,103,9,"2021-11-07 14:02:04",-0800,tap,,,
19100,103,4,"2021-11-07 14:02:04",-0800,present,,,
19101,103,201,"2021-11-07 14:02:09",-0800,tap,,,
19102,103,366,"2021-11-07 14:02:13",-0800,tap,,,
19103,103,257,"2021-11-07 14:02:20",-0800,tap,,,
19104,103,263,"2021-11-07 14:03:21",-0800,tap,,,
19105,103,8,"2021-11-07 14:03:23",-0800,tap,,,
19106,103,3,"2021-11-07 14:03:23",-0800,present,,,
19107,103,13,"2021-11-07 14:03:35",-0800,tap,,,
19108,103,238,"2021-11-07 14:03:40",-0800,tap,,,
19109,103,90,"2021-11-07 14:03:40",-0800,present,,,
19110,103,91,"2021-11-07 14:03:49",-0800,tap,,,
19111,103,42,"2021-11-07 14:04:01",-0800,tap,,,
19112,103,7,"2021-11-07 14:04:01",-0800,present,,,
19113,103,231,"2021-11-07 14:04:13",-0800,tap,,,
19114,103,308,"2021-11-07 14:04:22",-0800,tap,,,
19115,103,36,"2021-11-07 14:04:23",-0800,tap,,,
19116,103,308,"2021-11-07 14:04:28",-0800,tap,,,
19119,103,30,"2021-11-07 14:05:58",-0800,tap,,,
19120,103,43,"2021-11-07 14:06:01",-0800,tap,,,
19121,103,9,"2021-11-07 14:06:05",-0800,tap,,,
19122,103,4,"2021-11-07 14:06:05",-0800,present,,,
19124,103,201,"2021-11-07 14:06:07",-0800,tap,,,
19125,103,11,"2021-11-07 14:06:08",-0800,tap,,,
19126,103,6,"2021-11-07 14:06:08",-0800,present,,,
19134,103,8,"2021-11-07 14:06:31",-0800,tap,,,
19135,103,3,"2021-11-07 14:06:31",-0800,present,,,
25779,103,69,"2021-11-09 17:25:46",-0800,tap,,,
25780,103,69,"2021-11-09 17:25:47",-0800,tap,,,
25781,103,3,"2021-11-09 17:25:48",-0800,present,,,
25782,103,3,"2021-11-09 17:25:49",-0800,present,,,
28266,103,8,"2021-11-10 15:27:22",-0800,tap,,,
28270,103,9,"2021-11-10 15:27:41",-0800,tap,,,
28271,103,4,"2021-11-10 15:27:41",-0800,present,,,
28272,103,8,"2021-11-10 15:27:48",-0800,tap,,,
28273,103,3,"2021-11-10 15:27:48",-0800,present,,,
28299,103,4,"2021-11-10 15:29:45",-0800,present,,,
28300,103,9,"2021-11-10 15:29:45",-0800,tap,,,
28301,103,8,"2021-11-10 15:29:46",-0800,tap,,,
28302,103,3,"2021-11-10 15:29:46",-0800,present,,,
28318,103,69,"2021-11-10 15:30:57",-0800,tap,,,
28320,103,3,"2021-11-10 15:30:58",-0800,present,,,
28335,103,13,"2021-11-10 15:31:32",-0800,tap,,,
28353,103,238,"2021-11-10 15:32:14",-0800,tap,,,
28354,103,90,"2021-11-10 15:32:14",-0800,present,,,
28357,103,215,"2021-11-10 15:32:19",-0800,tap,,,
28359,103,92,"2021-11-10 15:32:22",-0800,tap,,,
28374,103,90,"2021-11-10 15:32:28",-0800,present,,,
28375,103,239,"2021-11-10 15:32:28",-0800,tap,,,
28383,103,214,"2021-11-10 15:32:31",-0800,tap,,,
28399,103,215,"2021-11-10 15:32:40",-0800,tap,,,
28403,103,92,"2021-11-10 15:32:43",-0800,tap,,,
28418,103,333,"2021-11-10 15:32:48",-0800,tap,,,
28442,103,44,"2021-11-10 15:33:28",-0800,tap,,,
28443,103,45,"2021-11-10 15:33:28",-0800,present,,,
28447,103,46,"2021-11-10 15:33:31",-0800,tap,,,
28458,103,239,"2021-11-10 15:33:42",-0800,tap,,,
28459,103,90,"2021-11-10 15:33:42",-0800,present,,,
28463,103,215,"2021-11-10 15:33:44",-0800,tap,,,
28464,103,92,"2021-11-10 15:33:48",-0800,tap,,,
28482,103,334,"2021-11-10 15:34:13",-0800,tap,,,
28507,103,334,"2021-11-10 15:34:49",-0800,tap,,,
28518,103,334,"2021-11-10 15:35:20",-0800,tap,,,
