interactionId,participantId,elementId,timestamp_local,timestamp_utcoffset,interaction,token,type,source
14202,95,69,"2021-11-02 10:47:38",-0700,tap,,,
14203,95,3,"2021-11-02 10:47:39",-0700,present,,,
14270,95,4,"2021-11-02 10:56:34",-0700,present,,,
14271,95,9,"2021-11-02 10:56:34",-0700,tap,,,
14273,95,201,"2021-11-02 10:56:36",-0700,tap,,,
14277,95,11,"2021-11-02 10:56:38",-0700,tap,,,
14278,95,6,"2021-11-02 10:56:39",-0700,present,,,
14282,95,3,"2021-11-02 10:56:42",-0700,present,,,
14283,95,8,"2021-11-02 10:56:42",-0700,tap,,,
14304,95,9,"2021-11-02 10:56:53",-0700,tap,,,
14305,95,4,"2021-11-02 10:56:53",-0700,present,,,
14332,95,18,"2021-11-02 10:57:17",-0700,tap,,,
14334,95,19,"2021-11-02 10:57:23",-0700,tap,,,
14358,95,201,"2021-11-02 10:57:47",-0700,tap,,,
14386,95,11,"2021-11-02 10:58:07",-0700,tap,,,
14388,95,6,"2021-11-02 10:58:07",-0700,present,,,
14398,95,12,"2021-11-02 10:58:21",-0700,tap,,,
14399,95,7,"2021-11-02 10:58:21",-0700,present,,,
14426,95,30,"2021-11-02 11:00:11",-0700,tap,,,
14437,95,8,"2021-11-02 11:05:55",-0700,tap,,,
14438,95,3,"2021-11-02 11:05:55",-0700,present,,,
14481,95,9,"2021-11-02 11:09:34",-0700,tap,,,
14482,95,4,"2021-11-02 11:09:34",-0700,present,,,
14491,95,8,"2021-11-02 11:10:09",-0700,tap,,,
14492,95,3,"2021-11-02 11:10:09",-0700,present,,,
20192,95,69,"2021-11-08 17:58:24",-0800,tap,,,
20193,95,3,"2021-11-08 17:58:25",-0800,present,,,
20194,95,9,"2021-11-08 17:58:28",-0800,tap,,,
20195,95,4,"2021-11-08 17:58:28",-0800,present,,,
20196,95,9,"2021-11-02 12:07:24",-0700,tap,,,
20197,95,201,"2021-11-08 17:58:30",-0800,tap,,,
20198,95,11,"2021-11-08 17:58:31",-0800,tap,,,
20199,95,6,"2021-11-08 17:58:31",-0800,present,,,
20200,95,8,"2021-11-08 17:58:35",-0800,tap,,,
20201,95,3,"2021-11-08 17:58:35",-0800,present,,,
20202,95,4,"2021-11-02 12:07:24",-0700,present,,,
20203,95,201,"2021-11-02 12:07:25",-0700,tap,,,
20204,95,11,"2021-11-02 12:07:27",-0700,tap,,,
20205,95,9,"2021-11-08 19:32:22",-0800,tap,,,
20206,95,4,"2021-11-08 19:32:22",-0800,present,,,
20207,95,201,"2021-11-08 19:32:29",-0800,tap,,,
20208,95,11,"2021-11-08 19:32:38",-0800,tap,,,
20209,95,6,"2021-11-08 19:32:38",-0800,present,,,
20461,95,6,"2021-11-02 12:07:27",-0700,present,,,
20466,95,8,"2021-11-02 12:07:32",-0700,tap,,,
20469,95,3,"2021-11-02 12:07:32",-0700,present,,,
20472,95,78,"2021-11-08 15:13:53",-0800,present,,,
20475,95,80,"2021-11-08 15:13:55",-0800,tap,,,
20477,95,12,"2021-11-08 15:14:01",-0800,tap,,,
20479,95,7,"2021-11-08 15:14:01",-0800,present,,,
20481,95,30,"2021-11-08 15:14:07",-0800,tap,,,
20483,95,8,"2021-11-08 15:14:15",-0800,tap,,,
20487,95,9,"2021-11-08 15:14:17",-0800,tap,,,
20491,95,4,"2021-11-08 15:14:17",-0800,present,,,
20494,95,9,"2021-11-09 10:17:23",-0800,tap,,,
20495,95,4,"2021-11-09 10:17:23",-0800,present,,,
20496,95,18,"2021-11-08 15:14:19",-0800,tap,,,
20498,95,18,"2021-11-08 15:14:19",-0800,tap,,,
20500,95,18,"2021-11-08 15:14:22",-0800,tap,,,
20502,95,8,"2021-11-08 15:14:23",-0800,tap,,,
20504,95,3,"2021-11-08 15:14:23",-0800,present,,,
20506,95,201,"2021-11-08 15:19:27",-0800,tap,,,
20508,95,8,"2021-11-09 10:22:36",-0800,tap,,,
20509,95,3,"2021-11-09 10:22:36",-0800,present,,,
20510,95,246,"2021-11-08 15:19:34",-0800,tap,,,
20530,95,318,"2021-11-08 15:19:34",-0800,present,,,
20605,95,8,"2021-11-09 10:26:57",-0800,tap,,,
20712,95,13,"2021-11-09 10:29:32",-0800,tap,,,
20732,95,238,"2021-11-09 10:29:45",-0800,tap,,,
20733,95,90,"2021-11-09 10:29:45",-0800,present,,,
20738,95,214,"2021-11-09 10:29:47",-0800,tap,,,
20740,95,216,"2021-11-09 10:29:49",-0800,tap,,,
20748,95,92,"2021-11-09 10:29:52",-0800,tap,,,
20759,95,238,"2021-11-09 10:29:56",-0800,tap,,,
20760,95,90,"2021-11-09 10:29:56",-0800,present,,,
20764,95,215,"2021-11-09 10:29:59",-0800,tap,,,
20771,95,92,"2021-11-09 10:30:01",-0800,tap,,,
20779,95,239,"2021-11-09 10:30:04",-0800,tap,,,
20780,95,90,"2021-11-09 10:30:04",-0800,present,,,
20786,95,214,"2021-11-09 10:30:05",-0800,tap,,,
20790,95,92,"2021-11-09 10:30:08",-0800,tap,,,
20800,95,333,"2021-11-09 10:30:18",-0800,tap,,,
20804,95,334,"2021-11-09 10:30:29",-0800,tap,,,
20850,95,336,"2021-11-09 10:30:57",-0800,tap,,,
20855,95,338,"2021-11-09 10:31:01",-0800,tap,,,
20861,95,340,"2021-11-09 10:31:05",-0800,tap,,,
20865,95,345,"2021-11-09 10:31:09",-0800,tap,,,
20870,95,355,"2021-11-09 10:31:20",-0800,tap,,,
20872,95,363,"2021-11-09 10:31:23",-0800,tap,,,
20877,95,44,"2021-11-09 10:31:27",-0800,tap,,,
20978,95,9,"2021-11-09 10:32:23",-0800,tap,,,
20980,95,4,"2021-11-09 10:32:23",-0800,present,,,
21129,95,3,"2021-11-09 10:34:03",-0800,present,,,
21130,95,20,"2021-11-09 10:34:03",-0800,tap,,,
21142,95,14,"2021-11-09 10:34:09",-0800,tap,,,
21145,95,104,"2021-11-09 10:34:12",-0800,tap,,,
21151,95,333,"2021-11-09 10:34:15",-0800,tap,,,
21179,95,336,"2021-11-09 10:34:40",-0800,tap,,,
21181,95,44,"2021-11-09 10:34:43",-0800,tap,,,
21182,95,97,"2021-11-09 10:34:44",-0800,present,,,
21188,95,99,"2021-11-09 10:34:52",-0800,tap,,,
21240,95,384,"2021-11-09 10:35:47",-0800,tap,,,
21256,95,102,"2021-11-09 10:35:58",-0800,tap,,,
21277,95,13,"2021-11-09 10:36:14",-0800,tap,,,
21283,95,238,"2021-11-09 10:36:17",-0800,tap,,,
21284,95,90,"2021-11-09 10:36:17",-0800,present,,,
21287,95,214,"2021-11-09 10:36:19",-0800,tap,,,
21289,95,215,"2021-11-09 10:36:21",-0800,tap,,,
21295,95,92,"2021-11-09 10:36:25",-0800,tap,,,
21297,95,239,"2021-11-09 10:36:27",-0800,tap,,,
21298,95,90,"2021-11-09 10:36:27",-0800,present,,,
21301,95,214,"2021-11-09 10:36:29",-0800,tap,,,
21304,95,216,"2021-11-09 10:36:30",-0800,tap,,,
21308,95,92,"2021-11-09 10:36:32",-0800,tap,,,
21311,95,334,"2021-11-09 10:36:34",-0800,tap,,,
21334,95,333,"2021-11-09 10:36:47",-0800,tap,,,
21366,95,334,"2021-11-09 10:37:08",-0800,tap,,,
21394,95,335,"2021-11-09 10:37:41",-0800,tap,,,
21400,95,342,"2021-11-09 10:37:46",-0800,tap,,,
21401,95,341,"2021-11-09 10:37:47",-0800,tap,,,
21403,95,345,"2021-11-09 10:37:49",-0800,tap,,,
21406,95,355,"2021-11-09 10:37:54",-0800,tap,,,
21407,95,363,"2021-11-09 10:37:57",-0800,tap,,,
21414,95,44,"2021-11-09 10:38:03",-0800,tap,,,
21415,95,381,"2021-11-09 10:38:11",-0800,tap,,,
21417,95,381,"2021-11-09 10:38:14",-0800,tap,,,
21449,95,9,"2021-11-09 10:39:12",-0800,tap,,,
21450,95,4,"2021-11-09 10:39:12",-0800,present,,,
21455,95,8,"2021-11-09 10:39:16",-0800,tap,,,
21456,95,3,"2021-11-09 10:39:16",-0800,present,,,
21492,95,384,"2021-11-09 10:40:09",-0800,tap,,,
21510,95,102,"2021-11-09 10:40:25",-0800,tap,,,
21536,95,9,"2021-11-09 10:41:18",-0800,tap,,,
21537,95,4,"2021-11-09 10:41:18",-0800,present,,,
21538,95,3,"2021-11-09 10:41:22",-0800,present,,,
21539,95,20,"2021-11-09 10:41:22",-0800,tap,,,
21542,95,13,"2021-11-09 10:41:25",-0800,tap,,,
21544,95,90,"2021-11-09 10:41:26",-0800,present,,,
21545,95,238,"2021-11-09 10:41:26",-0800,tap,,,
21550,95,214,"2021-11-09 10:41:30",-0800,tap,,,
21552,95,215,"2021-11-09 10:41:31",-0800,tap,,,
21553,95,92,"2021-11-09 10:41:35",-0800,tap,,,
21554,95,239,"2021-11-09 10:41:37",-0800,tap,,,
21555,95,90,"2021-11-09 10:41:38",-0800,present,,,
21564,95,214,"2021-11-09 10:41:46",-0800,tap,,,
21565,95,215,"2021-11-09 10:41:48",-0800,tap,,,
21567,95,92,"2021-11-09 10:41:51",-0800,tap,,,
21570,95,333,"2021-11-09 10:41:53",-0800,tap,,,
21586,95,334,"2021-11-09 10:42:04",-0800,tap,,,
21608,95,334,"2021-11-09 10:42:34",-0800,tap,,,
21614,95,334,"2021-11-09 10:42:56",-0800,tap,,,
21621,95,335,"2021-11-09 10:43:07",-0800,tap,,,
21623,95,341,"2021-11-09 10:43:10",-0800,tap,,,
21624,95,343,"2021-11-09 10:43:13",-0800,tap,,,
21628,95,348,"2021-11-09 10:43:18",-0800,tap,,,
21634,95,263,"2021-11-09 10:43:21",-0800,tap,,,
21640,95,44,"2021-11-09 10:43:26",-0800,tap,,,
21663,95,13,"2021-11-09 10:43:40",-0800,tap,,,
21666,95,238,"2021-11-09 10:43:42",-0800,tap,,,
21667,95,90,"2021-11-09 10:43:42",-0800,present,,,
21669,95,214,"2021-11-09 10:43:46",-0800,tap,,,
21670,95,215,"2021-11-09 10:43:48",-0800,tap,,,
21671,95,216,"2021-11-09 10:43:49",-0800,tap,,,
21672,95,92,"2021-11-09 10:43:50",-0800,tap,,,
21673,95,239,"2021-11-09 10:43:54",-0800,tap,,,
