interactionId,participantId,elementId,timestamp_local,timestamp_utcoffset,interaction,token,type,source
15513,110,69,"2021-11-03 16:32:25",-0700,tap,,,
15519,110,3,"2021-11-03 16:32:29",-0700,present,,,
15520,110,3,"2021-11-03 16:32:29",-0700,present,,,
15590,110,4,"2021-11-03 16:35:45",-0700,present,,,
15591,110,9,"2021-11-03 16:35:45",-0700,tap,,,
15630,110,201,"2021-11-03 16:36:18",-0700,tap,,,
15667,110,6,"2021-11-03 16:36:51",-0700,present,,,
15668,110,11,"2021-11-03 16:36:51",-0700,tap,,,
15688,110,12,"2021-11-03 16:37:09",-0700,tap,,,
15689,110,7,"2021-11-03 16:37:09",-0700,present,,,
28255,110,30,"2021-11-10 15:26:48",-0800,tap,,,
28262,110,8,"2021-11-10 15:26:59",-0800,tap,,,
28263,110,3,"2021-11-10 15:27:00",-0800,present,,,
28283,110,8,"2021-11-10 15:28:33",-0800,tap,,,
28327,110,13,"2021-11-10 15:31:03",-0800,tap,,,
28376,110,90,"2021-11-10 15:32:29",-0800,present,,,
28377,110,238,"2021-11-10 15:32:29",-0800,tap,,,
28391,110,215,"2021-11-10 15:32:37",-0800,tap,,,
28434,110,92,"2021-11-10 15:33:03",-0800,tap,,,
28451,110,239,"2021-11-10 15:33:37",-0800,tap,,,
28452,110,90,"2021-11-10 15:33:37",-0800,present,,,
28456,110,214,"2021-11-10 15:33:40",-0800,tap,,,
28466,110,92,"2021-11-10 15:33:50",-0800,tap,,,
28474,110,333,"2021-11-10 15:34:00",-0800,tap,,,
28491,110,334,"2021-11-10 15:34:27",-0800,tap,,,
28625,110,44,"2021-11-10 15:38:24",-0800,tap,,,
28654,110,384,"2021-11-10 15:39:04",-0800,tap,,,
28685,110,104,"2021-11-10 15:39:27",-0800,tap,,,
28740,110,335,"2021-11-10 15:40:52",-0800,tap,,,
28753,110,44,"2021-11-10 15:40:56",-0800,tap,,,
28811,110,9,"2021-11-10 15:41:43",-0800,tap,,,
28812,110,4,"2021-11-10 15:41:43",-0800,present,,,
28974,110,8,"2021-11-10 15:44:51",-0800,tap,,,
28975,110,3,"2021-11-10 15:44:51",-0800,present,,,
28980,110,384,"2021-11-10 15:44:54",-0800,tap,,,
28989,110,104,"2021-11-10 15:44:58",-0800,tap,,,
29030,110,342,"2021-11-10 15:45:42",-0800,tap,,,
29078,110,338,"2021-11-10 15:46:54",-0800,tap,,,
29089,110,44,"2021-11-10 15:47:09",-0800,tap,,,
29108,110,384,"2021-11-10 15:48:10",-0800,tap,,,
29121,110,104,"2021-11-10 15:48:12",-0800,tap,,,
29175,110,44,"2021-11-10 15:49:31",-0800,tap,,,
29194,110,9,"2021-11-10 15:49:39",-0800,tap,,,
29195,110,4,"2021-11-10 15:49:39",-0800,present,,,
29211,110,20,"2021-11-10 15:49:43",-0800,tap,,,
29215,110,3,"2021-11-10 15:49:43",-0800,present,,,
29235,110,13,"2021-11-10 15:49:55",-0800,tap,,,
29249,110,238,"2021-11-10 15:49:59",-0800,tap,,,
29250,110,90,"2021-11-10 15:49:59",-0800,present,,,
29266,110,215,"2021-11-10 15:50:02",-0800,tap,,,
29271,110,215,"2021-11-10 15:50:02",-0800,tap,,,
29283,110,92,"2021-11-10 15:50:05",-0800,tap,,,
29289,110,90,"2021-11-10 15:50:07",-0800,present,,,
29290,110,239,"2021-11-10 15:50:07",-0800,tap,,,
29302,110,214,"2021-11-10 15:50:09",-0800,tap,,,
29312,110,92,"2021-11-10 15:50:10",-0800,tap,,,
29327,110,333,"2021-11-10 15:50:14",-0800,tap,,,
29348,110,334,"2021-11-10 15:50:20",-0800,tap,,,
29389,110,335,"2021-11-10 15:50:51",-0800,tap,,,
29397,110,333,"2021-11-10 15:50:55",-0800,tap,,,
29469,110,342,"2021-11-10 15:51:51",-0800,tap,,,
29473,110,338,"2021-11-10 15:51:52",-0800,tap,,,
29475,110,345,"2021-11-10 15:51:56",-0800,tap,,,
29496,110,217,"2021-11-10 15:52:16",-0800,tap,,,
29498,110,93,"2021-11-10 15:52:16",-0800,present,,,
29601,110,96,"2021-11-10 15:53:18",-0800,tap,,,
29674,110,363,"2021-11-10 15:55:23",-0800,tap,,,
29690,110,44,"2021-11-10 15:55:33",-0800,tap,,,
29697,110,4,"2021-11-10 15:55:37",-0800,present,,,
29698,110,9,"2021-11-10 15:55:37",-0800,tap,,,
30561,110,3,"2021-11-10 16:04:42",-0800,present,,,
30562,110,8,"2021-11-10 16:04:42",-0800,tap,,,
30619,110,13,"2021-11-10 16:05:23",-0800,tap,,,
30623,110,238,"2021-11-10 16:05:27",-0800,tap,,,
30626,110,90,"2021-11-10 16:05:27",-0800,present,,,
30629,110,214,"2021-11-10 16:05:29",-0800,tap,,,
30630,110,214,"2021-11-10 16:05:29",-0800,tap,,,
30639,110,215,"2021-11-10 16:05:31",-0800,tap,,,
30646,110,92,"2021-11-10 16:05:34",-0800,tap,,,
30659,110,90,"2021-11-10 16:05:38",-0800,present,,,
30660,110,238,"2021-11-10 16:05:38",-0800,tap,,,
30667,110,214,"2021-11-10 16:05:39",-0800,tap,,,
30669,110,214,"2021-11-10 16:05:41",-0800,tap,,,
30674,110,214,"2021-11-10 16:05:42",-0800,tap,,,
30680,110,92,"2021-11-10 16:05:44",-0800,tap,,,
30690,110,239,"2021-11-10 16:05:47",-0800,tap,,,
30691,110,90,"2021-11-10 16:05:47",-0800,present,,,
30792,110,215,"2021-11-10 16:06:40",-0800,tap,,,
30808,110,92,"2021-11-10 16:06:45",-0800,tap,,,
30812,110,239,"2021-11-10 16:06:47",-0800,tap,,,
30813,110,90,"2021-11-10 16:06:47",-0800,present,,,
30821,110,214,"2021-11-10 16:06:50",-0800,tap,,,
30830,110,92,"2021-11-10 16:06:55",-0800,tap,,,
30875,110,333,"2021-11-10 16:07:36",-0800,tap,,,
30893,110,334,"2021-11-10 16:07:59",-0800,tap,,,
30924,110,336,"2021-11-10 16:08:43",-0800,tap,,,
30938,110,344,"2021-11-10 16:08:54",-0800,tap,,,
30945,110,217,"2021-11-10 16:09:01",-0800,tap,,,
30946,110,93,"2021-11-10 16:09:01",-0800,present,,,
30953,110,20,"2021-11-10 16:09:05",-0800,tap,,,
30959,110,95,"2021-11-10 16:09:09",-0800,tap,,,
30970,110,354,"2021-11-10 16:09:19",-0800,tap,,,
30979,110,363,"2021-11-10 16:09:22",-0800,tap,,,
30989,110,44,"2021-11-10 16:09:27",-0800,tap,,,
30990,110,45,"2021-11-10 16:09:27",-0800,present,,,
30998,110,46,"2021-11-10 16:09:30",-0800,tap,,,
31000,110,334,"2021-11-10 16:09:32",-0800,tap,,,
31120,110,334,"2021-11-10 16:10:53",-0800,tap,,,
31275,110,44,"2021-11-10 16:12:24",-0800,tap,,,
31295,110,13,"2021-11-10 16:12:33",-0800,tap,,,
31306,110,238,"2021-11-10 16:12:37",-0800,tap,,,
31308,110,90,"2021-11-10 16:12:37",-0800,present,,,
31323,110,214,"2021-11-10 16:12:44",-0800,tap,,,
31327,110,215,"2021-11-10 16:12:46",-0800,tap,,,
31332,110,216,"2021-11-10 16:12:47",-0800,tap,,,
31338,110,92,"2021-11-10 16:12:49",-0800,tap,,,
31339,110,239,"2021-11-10 16:12:51",-0800,tap,,,
31340,110,90,"2021-11-10 16:12:51",-0800,present,,,
31347,110,214,"2021-11-10 16:12:53",-0800,tap,,,
31354,110,215,"2021-11-10 16:12:55",-0800,tap,,,
31363,110,92,"2021-11-10 16:12:57",-0800,tap,,,
31369,110,333,"2021-11-10 16:13:01",-0800,tap,,,
31390,110,334,"2021-11-10 16:13:12",-0800,tap,,,
31412,110,344,"2021-11-10 16:13:29",-0800,tap,,,
31418,110,217,"2021-11-10 16:13:32",-0800,tap,,,
31419,110,93,"2021-11-10 16:13:32",-0800,present,,,
31423,110,20,"2021-11-10 16:13:33",-0800,tap,,,
31428,110,95,"2021-11-10 16:13:38",-0800,tap,,,
31436,110,354,"2021-11-10 16:13:43",-0800,tap,,,
