interactionId,participantId,elementId,timestamp_local,timestamp_utcoffset,interaction,token,type,source
14204,116,69,"2021-11-02 10:49:13",-0700,tap,,,
14205,116,3,"2021-11-02 10:49:14",-0700,present,,,
14226,116,4,"2021-11-02 10:54:33",-0700,present,,,
14227,116,9,"2021-11-02 10:54:33",-0700,tap,,,
14229,116,3,"2021-11-02 10:54:35",-0700,present,,,
14230,116,8,"2021-11-02 10:54:35",-0700,tap,,,
14231,116,11,"2021-11-02 10:54:38",-0700,tap,,,
14232,116,6,"2021-11-02 10:54:38",-0700,present,,,
14233,116,8,"2021-11-02 10:54:40",-0700,tap,,,
14234,116,3,"2021-11-02 10:54:40",-0700,present,,,
14254,116,9,"2021-11-02 10:55:21",-0700,tap,,,
14255,116,4,"2021-11-02 10:55:21",-0700,present,,,
14256,116,8,"2021-11-02 10:55:24",-0700,tap,,,
14257,116,3,"2021-11-02 10:55:24",-0700,present,,,
14319,116,4,"2021-11-02 10:56:55",-0700,present,,,
14320,116,9,"2021-11-02 10:56:55",-0700,tap,,,
14354,116,201,"2021-11-02 10:57:46",-0700,tap,,,
14375,116,11,"2021-11-02 10:58:04",-0700,tap,,,
14381,116,6,"2021-11-02 10:58:04",-0700,present,,,
14408,116,12,"2021-11-02 10:58:23",-0700,tap,,,
14409,116,7,"2021-11-02 10:58:24",-0700,present,,,
14427,116,30,"2021-11-02 11:00:12",-0700,tap,,,
14598,116,8,"2021-11-02 16:47:48",-0700,tap,,,
15133,116,9,"2021-11-02 16:41:24",-0700,tap,,,
15134,116,11,"2021-11-03 08:58:35",-0700,tap,,,
15135,116,6,"2021-11-03 08:58:35",-0700,present,,,
15136,116,201,"2021-11-03 08:58:39",-0700,tap,,,
15137,116,9,"2021-11-03 08:58:40",-0700,tap,,,
15138,116,4,"2021-11-03 08:58:41",-0700,present,,,
15139,116,11,"2021-11-03 08:58:49",-0700,tap,,,
15140,116,6,"2021-11-03 08:58:49",-0700,present,,,
15141,116,4,"2021-11-02 16:41:24",-0700,present,,,
15142,116,229,"2021-11-03 08:59:34",-0700,tap,,,
15143,116,19,"2021-11-02 16:41:27",-0700,tap,,,
15144,116,8,"2021-11-03 09:00:54",-0700,tap,,,
15145,116,3,"2021-11-03 09:00:54",-0700,present,,,
15146,116,11,"2021-11-03 09:01:06",-0700,tap,,,
15147,116,6,"2021-11-03 09:01:06",-0700,present,,,
15148,116,25,"2021-11-03 09:01:16",-0700,tap,,,
15149,116,57,"2021-11-03 09:01:16",-0700,present,,folder,
15150,116,60,"2021-11-03 09:01:22",-0700,tap,,folder,
15151,116,19,"2021-11-02 16:41:29",-0700,tap,,,
15152,116,55,"2021-11-03 09:01:37",-0700,tap,,,
15153,116,228,"2021-11-03 09:02:18",-0700,tap,,,
15154,116,201,"2021-11-03 09:02:23",-0700,tap,,,
15155,116,8,"2021-11-03 09:02:29",-0700,tap,,,
