interactionId,participantId,elementId,timestamp_local,timestamp_utcoffset,interaction,token,type,source
15529,130,69,"2021-11-03 16:32:51",-0700,tap,,,
15530,130,3,"2021-11-03 16:32:52",-0700,present,,,
15566,130,8,"2021-11-03 16:35:08",-0700,tap,,,
15580,130,9,"2021-11-03 16:35:44",-0700,tap,,,
15583,130,4,"2021-11-03 16:35:44",-0700,present,,,
15616,130,19,"2021-11-03 16:36:06",-0700,tap,,,
15619,130,18,"2021-11-03 16:36:08",-0700,tap,,,
15627,130,201,"2021-11-03 16:36:18",-0700,tap,,,
15650,130,11,"2021-11-03 16:36:49",-0700,tap,,,
15654,130,6,"2021-11-03 16:36:50",-0700,present,,,
15686,130,12,"2021-11-03 16:37:08",-0700,tap,,,
15687,130,7,"2021-11-03 16:37:09",-0700,present,,,
28264,130,69,"2021-11-10 15:27:04",-0800,tap,,,
28265,130,3,"2021-11-10 15:27:06",-0800,present,,,
28324,130,13,"2021-11-10 15:31:01",-0800,tap,,,
28372,130,238,"2021-11-10 15:32:28",-0800,tap,,,
28373,130,90,"2021-11-10 15:32:28",-0800,present,,,
28386,130,215,"2021-11-10 15:32:33",-0800,tap,,,
28422,130,92,"2021-11-10 15:32:51",-0800,tap,,,
28438,130,239,"2021-11-10 15:33:18",-0800,tap,,,
28439,130,90,"2021-11-10 15:33:18",-0800,present,,,
28440,130,214,"2021-11-10 15:33:23",-0800,tap,,,
28441,130,92,"2021-11-10 15:33:26",-0800,tap,,,
28470,130,333,"2021-11-10 15:33:59",-0800,tap,,,
28489,130,334,"2021-11-10 15:34:26",-0800,tap,,,
28511,130,334,"2021-11-10 15:35:02",-0800,tap,,,
28527,130,335,"2021-11-10 15:35:41",-0800,tap,,,
28533,130,342,"2021-11-10 15:35:46",-0800,tap,,,
28544,130,345,"2021-11-10 15:36:07",-0800,tap,,,
28547,130,363,"2021-11-10 15:36:23",-0800,tap,,,
28627,130,343,"2021-11-10 15:38:25",-0800,tap,,,
28641,130,44,"2021-11-10 15:38:40",-0800,tap,,,
28657,130,384,"2021-11-10 15:39:06",-0800,tap,,,
28660,130,102,"2021-11-10 15:39:10",-0800,tap,,,
28684,130,384,"2021-11-10 15:39:27",-0800,tap,,,
28689,130,104,"2021-11-10 15:39:29",-0800,tap,,,
28747,130,44,"2021-11-10 15:40:55",-0800,tap,,,
28748,130,97,"2021-11-10 15:40:55",-0800,present,,,
28762,130,100,"2021-11-10 15:41:04",-0800,tap,,,
28767,130,384,"2021-11-10 15:41:07",-0800,tap,,,
28770,130,102,"2021-11-10 15:41:11",-0800,tap,,,
28804,130,9,"2021-11-10 15:41:42",-0800,tap,,,
28806,130,4,"2021-11-10 15:41:42",-0800,present,,,
28831,130,8,"2021-11-10 15:41:56",-0800,tap,,,
28832,130,3,"2021-11-10 15:41:56",-0800,present,,,
28833,130,384,"2021-11-10 15:41:59",-0800,tap,,,
