interactionId,participantId,elementId,timestamp_local,timestamp_utcoffset,interaction,token,type,source
15500,129,69,"2021-11-03 16:32:08",-0700,tap,,,
15501,129,3,"2021-11-03 16:32:10",-0700,present,,,
15597,129,9,"2021-11-03 16:35:46",-0700,tap,,,
15598,129,4,"2021-11-03 16:35:46",-0700,present,,,
15634,129,201,"2021-11-03 16:36:18",-0700,tap,,,
15659,129,11,"2021-11-03 16:36:50",-0700,tap,,,
15660,129,6,"2021-11-03 16:36:50",-0700,present,,,
15696,129,7,"2021-11-03 16:37:10",-0700,present,,,
15697,129,12,"2021-11-03 16:37:10",-0700,tap,,,
28074,129,69,"2021-11-10 14:04:21",-0800,tap,,,
28075,129,3,"2021-11-10 14:04:22",-0800,present,,,
28733,129,9,"2021-11-10 15:40:40",-0800,tap,,,
28734,129,4,"2021-11-10 15:40:40",-0800,present,,,
28735,129,3,"2021-11-10 15:40:45",-0800,present,,,
28736,129,8,"2021-11-10 15:40:45",-0800,tap,,,
28760,129,13,"2021-11-10 15:41:01",-0800,tap,,,
28775,129,238,"2021-11-10 15:41:15",-0800,tap,,,
28776,129,90,"2021-11-10 15:41:15",-0800,present,,,
28788,129,215,"2021-11-10 15:41:29",-0800,tap,,,
28796,129,92,"2021-11-10 15:41:37",-0800,tap,,,
28798,129,239,"2021-11-10 15:41:40",-0800,tap,,,
28799,129,90,"2021-11-10 15:41:40",-0800,present,,,
28810,129,214,"2021-11-10 15:41:43",-0800,tap,,,
28817,129,92,"2021-11-10 15:41:46",-0800,tap,,,
28822,129,334,"2021-11-10 15:41:49",-0800,tap,,,
28858,129,334,"2021-11-10 15:42:26",-0800,tap,,,
28866,129,335,"2021-11-10 15:42:36",-0800,tap,,,
28868,129,342,"2021-11-10 15:42:41",-0800,tap,,,
28883,129,333,"2021-11-10 15:43:00",-0800,tap,,,
28950,129,44,"2021-11-10 15:44:32",-0800,tap,,,
29016,129,384,"2021-11-10 15:45:15",-0800,tap,,,
29019,129,104,"2021-11-10 15:45:18",-0800,tap,,,
29088,129,44,"2021-11-10 15:47:08",-0800,tap,,,
29117,129,384,"2021-11-10 15:48:12",-0800,tap,,,
29128,129,104,"2021-11-10 15:48:15",-0800,tap,,,
29176,129,44,"2021-11-10 15:49:32",-0800,tap,,,
29196,129,4,"2021-11-10 15:49:40",-0800,present,,,
29197,129,9,"2021-11-10 15:49:40",-0800,tap,,,
29262,129,20,"2021-11-10 15:50:01",-0800,tap,,,
29265,129,3,"2021-11-10 15:50:01",-0800,present,,,
29336,129,9,"2021-11-10 15:50:16",-0800,tap,,,
29337,129,4,"2021-11-10 15:50:16",-0800,present,,,
29409,129,3,"2021-11-10 15:51:08",-0800,present,,,
29410,129,20,"2021-11-10 15:51:08",-0800,tap,,,
29420,129,381,"2021-11-10 15:51:18",-0800,tap,,,
29421,129,381,"2021-11-10 15:51:20",-0800,tap,,,
29461,129,384,"2021-11-10 15:51:44",-0800,tap,,,
29467,129,102,"2021-11-10 15:51:49",-0800,tap,,,
29490,129,13,"2021-11-10 15:52:12",-0800,tap,,,
29505,129,345,"2021-11-10 15:52:21",-0800,tap,,,
29525,129,363,"2021-11-10 15:52:32",-0800,tap,,,
29532,129,238,"2021-11-10 15:52:42",-0800,tap,,,
29533,129,90,"2021-11-10 15:52:42",-0800,present,,,
29539,129,215,"2021-11-10 15:52:45",-0800,tap,,,
29543,129,92,"2021-11-10 15:52:48",-0800,tap,,,
29545,129,49,"2021-11-10 15:52:48",-0800,present,,,
29552,129,50,"2021-11-10 15:52:51",-0800,tap,,,
29555,129,240,"2021-11-10 15:52:53",-0800,tap,,,
29557,129,93,"2021-11-10 15:52:53",-0800,present,,,
29562,129,20,"2021-11-10 15:52:55",-0800,tap,,,
29565,129,95,"2021-11-10 15:52:59",-0800,tap,,,
29571,129,90,"2021-11-10 15:53:02",-0800,present,,,
29572,129,239,"2021-11-10 15:53:02",-0800,tap,,,
29578,129,214,"2021-11-10 15:53:07",-0800,tap,,,
29584,129,92,"2021-11-10 15:53:10",-0800,tap,,,
29593,129,44,"2021-11-10 15:53:15",-0800,tap,,,
29594,129,45,"2021-11-10 15:53:15",-0800,present,,,
