interactionId,participantId,elementId,timestamp_local,timestamp_utcoffset,interaction,token,type,source
14258,133,69,"2021-11-02 10:55:30",-0700,tap,,,
14259,133,3,"2021-11-02 10:55:31",-0700,present,,,
14323,133,9,"2021-11-02 10:56:57",-0700,tap,,,
14324,133,4,"2021-11-02 10:56:57",-0700,present,,,
14338,133,20,"2021-11-02 10:57:28",-0700,tap,,,
14339,133,3,"2021-11-02 10:57:28",-0700,present,,,
14344,133,8,"2021-11-02 10:57:37",-0700,tap,,,
14345,133,9,"2021-11-02 10:57:38",-0700,tap,,,
14346,133,4,"2021-11-02 10:57:38",-0700,present,,,
14360,133,201,"2021-11-02 10:57:48",-0700,tap,,,
14384,133,11,"2021-11-02 10:58:06",-0700,tap,,,
14385,133,6,"2021-11-02 10:58:06",-0700,present,,,
14418,133,7,"2021-11-02 10:58:25",-0700,present,,,
14419,133,12,"2021-11-02 10:58:25",-0700,tap,,,
20942,133,30,"2021-11-09 10:31:54",-0800,tap,,,
20952,133,8,"2021-11-09 10:32:08",-0800,tap,,,
20953,133,3,"2021-11-09 10:32:08",-0800,present,,,
20957,133,8,"2021-11-09 10:32:10",-0800,tap,,,
20968,133,13,"2021-11-09 10:32:17",-0800,tap,,,
21034,133,239,"2021-11-09 10:33:10",-0800,tap,,,
21035,133,90,"2021-11-09 10:33:10",-0800,present,,,
21042,133,91,"2021-11-09 10:33:14",-0800,tap,,,
21058,133,90,"2021-11-09 10:33:22",-0800,present,,,
21059,133,238,"2021-11-09 10:33:22",-0800,tap,,,
21062,133,214,"2021-11-09 10:33:24",-0800,tap,,,
21069,133,215,"2021-11-09 10:33:28",-0800,tap,,,
21076,133,92,"2021-11-09 10:33:31",-0800,tap,,,
21082,133,239,"2021-11-09 10:33:36",-0800,tap,,,
21083,133,90,"2021-11-09 10:33:36",-0800,present,,,
21091,133,92,"2021-11-09 10:33:39",-0800,tap,,,
21103,133,238,"2021-11-09 10:33:46",-0800,tap,,,
21104,133,90,"2021-11-09 10:33:46",-0800,present,,,
21107,133,216,"2021-11-09 10:33:48",-0800,tap,,,
21109,133,92,"2021-11-09 10:33:51",-0800,tap,,,
21113,133,239,"2021-11-09 10:33:53",-0800,tap,,,
21114,133,90,"2021-11-09 10:33:53",-0800,present,,,
21115,133,216,"2021-11-09 10:33:54",-0800,tap,,,
21117,133,92,"2021-11-09 10:33:57",-0800,tap,,,
21128,133,333,"2021-11-09 10:34:03",-0800,tap,,,
21177,133,334,"2021-11-09 10:34:35",-0800,tap,,,
21262,133,340,"2021-11-09 10:36:01",-0800,tap,,,
21312,133,44,"2021-11-09 10:36:34",-0800,tap,,,
21347,133,384,"2021-11-09 10:36:57",-0800,tap,,,
21398,133,102,"2021-11-09 10:37:46",-0800,tap,,,
21541,133,384,"2021-11-09 10:41:24",-0800,tap,,,
21547,133,102,"2021-11-09 10:41:28",-0800,tap,,,
21573,133,384,"2021-11-09 10:41:55",-0800,tap,,,
21578,133,104,"2021-11-09 10:41:57",-0800,tap,,,
21587,133,90,"2021-11-09 10:42:04",-0800,present,,,
21588,133,238,"2021-11-09 10:42:04",-0800,tap,,,
21589,133,214,"2021-11-09 10:42:07",-0800,tap,,,
21592,133,92,"2021-11-09 10:42:11",-0800,tap,,,
21598,133,333,"2021-11-09 10:42:15",-0800,tap,,,
21611,133,49,"2021-11-09 10:42:47",-0800,present,,,
21612,133,44,"2021-11-09 10:42:47",-0800,tap,,,
21613,133,50,"2021-11-09 10:42:55",-0800,tap,,,
21615,133,239,"2021-11-09 10:42:58",-0800,tap,,,
21616,133,90,"2021-11-09 10:42:58",-0800,present,,,
21617,133,214,"2021-11-09 10:43:04",-0800,tap,,,
21619,133,215,"2021-11-09 10:43:05",-0800,tap,,,
21620,133,92,"2021-11-09 10:43:06",-0800,tap,,,
21631,133,335,"2021-11-09 10:43:19",-0800,tap,,,
21714,133,82,"2021-11-09 10:45:27",-0800,tap,,,
21727,133,13,"2021-11-09 10:45:40",-0800,tap,,,
21731,133,238,"2021-11-09 10:45:45",-0800,tap,,,
21732,133,90,"2021-11-09 10:45:45",-0800,present,,,
21735,133,214,"2021-11-09 10:45:48",-0800,tap,,,
21736,133,215,"2021-11-09 10:45:49",-0800,tap,,,
21738,133,216,"2021-11-09 10:45:50",-0800,tap,,,
21739,133,92,"2021-11-09 10:45:51",-0800,tap,,,
21741,133,239,"2021-11-09 10:45:54",-0800,tap,,,
21742,133,90,"2021-11-09 10:45:54",-0800,present,,,
21744,133,215,"2021-11-09 10:45:58",-0800,tap,,,
21747,133,92,"2021-11-09 10:46:00",-0800,tap,,,
21750,133,333,"2021-11-09 10:46:06",-0800,tap,,,
21774,133,334,"2021-11-09 10:46:29",-0800,tap,,,
21809,133,339,"2021-11-09 10:47:20",-0800,tap,,,
21812,133,344,"2021-11-09 10:47:24",-0800,tap,,,
21821,133,354,"2021-11-09 10:47:32",-0800,tap,,,
21826,133,363,"2021-11-09 10:47:35",-0800,tap,,,
21832,133,44,"2021-11-09 10:47:48",-0800,tap,,,
22045,133,13,"2021-11-09 10:53:51",-0800,tap,,,
22056,133,238,"2021-11-09 10:54:00",-0800,tap,,,
22057,133,90,"2021-11-09 10:54:00",-0800,present,,,
22065,133,214,"2021-11-09 10:54:04",-0800,tap,,,
